two_bed,studio,one_bed,three_bed,four_bed,county_name,pop2010,state,metro
1030,790,802,1305,1548,Bethlehem town,3607,CT,0
1030,790,802,1305,1548,Bridgewater town,1727,CT,0
1030,790,802,1305,1548,Canaan town,1234,CT,0
1030,790,802,1305,1548,Colebrook town,1485,CT,0
1030,790,802,1305,1548,Cornwall town,1420,CT,0
1030,790,802,1305,1548,Goshen town,2976,CT,0
1030,790,802,1305,1548,Harwinton town,5642,CT,0
1030,790,802,1305,1548,Kent town,2979,CT,0
1030,790,802,1305,1548,Litchfield town,8466,CT,0
1030,790,802,1305,1548,Morris town,2388,CT,0
1030,790,802,1305,1548,New Hartford town,6970,CT,0
1030,790,802,1305,1548,New Milford town,28142,CT,0
1030,790,802,1305,1548,Norfolk town,1709,CT,0
1030,790,802,1305,1548,North Canaan town,3315,CT,0
1030,790,802,1305,1548,Plymouth town,12243,CT,0
1030,790,802,1305,1548,Roxbury town,2262,CT,0
1030,790,802,1305,1548,Salisbury town,3741,CT,0
1030,790,802,1305,1548,Sharon town,2782,CT,0
1030,790,802,1305,1548,Thomaston town,7887,CT,0
1030,790,802,1305,1548,Torrington town,36383,CT,0
1030,790,802,1305,1548,Warren town,1461,CT,0
1030,790,802,1305,1548,Washington town,3578,CT,0
1030,790,802,1305,1548,Watertown town,22514,CT,0
1030,790,802,1305,1548,Winchester town,11242,CT,0
1030,790,802,1305,1548,Woodbury town,9975,CT,0
1144,732,918,1425,1655,Chester town,3994,CT,1
1214,891,897,1689,1695,Clinton town,13260,CT,1
1144,732,918,1425,1655,Cromwell town,14005,CT,1
1214,891,897,1689,1695,Deep River town,4629,CT,1
1144,732,918,1425,1655,Durham town,7388,CT,1
1144,732,918,1425,1655,East Haddam town,9126,CT,1
1144,732,918,1425,1655,East Hampton town,12959,CT,1
1214,891,897,1689,1695,Essex town,6683,CT,1
1144,732,918,1425,1655,Haddam town,8346,CT,1
1214,891,897,1689,1695,Killingworth town,6525,CT,1
1144,732,918,1425,1655,Middlefield town,4425,CT,1
1144,732,918,1425,1655,Middletown town,47648,CT,1
1214,891,897,1689,1695,Old Saybrook town,10242,CT,1
1144,732,918,1425,1655,Portland town,9508,CT,1
1214,891,897,1689,1695,Westbrook town,6938,CT,1
1249,958,1011,1581,1762,Ansonia town,19249,CT,1
1249,958,1011,1581,1762,Beacon Falls town,6049,CT,1
1316,874,1055,1639,1818,Bethany town,5563,CT,1
1316,874,1055,1639,1818,Branford town,28026,CT,1
1316,874,1055,1639,1818,Cheshire town,29261,CT,1
1249,958,1011,1581,1762,Derby town,12902,CT,1
1316,874,1055,1639,1818,East Haven town,29257,CT,1
1316,874,1055,1639,1818,Guilford town,22375,CT,1
1316,874,1055,1639,1818,Hamden town,60960,CT,1
1316,874,1055,1639,1818,Madison town,18269,CT,1
1316,874,1055,1639,1818,Meriden town,60868,CT,1
979,594,803,1219,1325,Middlebury town,7575,CT,1
1249,958,1011,1581,1762,Milford town,52759,CT,1
979,594,803,1219,1325,Naugatuck town,31862,CT,1
1316,874,1055,1639,1818,New Haven town,129779,CT,1
1316,874,1055,1639,1818,North Branford town,14407,CT,1
1316,874,1055,1639,1818,North Haven town,24093,CT,1
1316,874,1055,1639,1818,Orange town,13956,CT,1
1249,958,1011,1581,1762,Oxford town,12683,CT,1
979,594,803,1219,1325,Prospect town,9405,CT,1
1249,958,1011,1581,1762,Seymour town,16540,CT,1
979,594,803,1219,1325,Southbury town,19904,CT,1
1316,874,1055,1639,1818,Wallingford town,45135,CT,1
979,594,803,1219,1325,Waterbury town,110366,CT,1
1316,874,1055,1639,1818,West Haven town,55564,CT,1
979,594,803,1219,1325,Wolcott town,16680,CT,1
1316,874,1055,1639,1818,Woodbridge town,8990,CT,1
1057,716,805,1353,1560,Bozrah town,2627,CT,1
1137,770,840,1416,1648,Colchester town,16068,CT,1
1057,716,805,1353,1560,East Lyme town,19159,CT,1
1057,716,805,1353,1560,Franklin town,1922,CT,1
1057,716,805,1353,1560,Griswold town,11951,CT,1
1057,716,805,1353,1560,Groton town,40115,CT,1
1137,770,840,1416,1648,Lebanon town,7308,CT,1
1057,716,805,1353,1560,Ledyard town,15051,CT,1
1057,716,805,1353,1560,Lisbon town,4338,CT,1
1057,716,805,1353,1560,Lyme town,2406,CT,1
1057,716,805,1353,1560,Montville town,19571,CT,1
1057,716,805,1353,1560,New London town,27620,CT,1
1057,716,805,1353,1560,North Stonington town,5297,CT,1
1057,716,805,1353,1560,Norwich town,40493,CT,1
1057,716,805,1353,1560,Old Lyme town,7603,CT,1
1057,716,805,1353,1560,Preston town,4726,CT,1
1057,716,805,1353,1560,Salem town,4151,CT,1
1057,716,805,1353,1560,Sprague town,2984,CT,1
1057,716,805,1353,1560,Stonington town,18545,CT,1
1057,716,805,1353,1560,Voluntown town,2603,CT,1
1057,716,805,1353,1560,Waterford town,19517,CT,1
1144,732,918,1425,1655,Andover town,3303,CT,1
1144,732,918,1425,1655,Bolton town,4980,CT,1
1144,732,918,1425,1655,Columbia town,5485,CT,1
1144,732,918,1425,1655,Coventry town,12435,CT,1
1144,732,918,1425,1655,Ellington town,15602,CT,1
1144,732,918,1425,1655,Hebron town,9686,CT,1
1144,732,918,1425,1655,Mansfield town,26543,CT,1
