metro_area,state,size_rank,median_rent
"New Bern, NC",NC,277,1030
"Logan, ID",UT,278,1096
"Harrisonburg, VA",VA,279,1209
"Beckley, WV",WV,280,785
"Weirton, OH",OH,281,766
"Goldsboro, NC",NC,282,954
"Hammond, LA",LA,283,1196
"Jonesboro, AR",AR,284,994
"Sherman, TX",TX,285,1251
"Anniston, AL",AL,286,770
"Staunton, VA",VA,287,1245
"Mount Vernon, WA",WA,288,1697
"Albany, OR",OR,289,1401
"Watertown, NY",NY,290,1195
"Williamsport, PA",PA,291,1038
"Cleveland, TN",TN,292,993
"Sheboygan, WI",WI,293,1090
"Owensboro, KY",KY,294,977
"Dunn, NC",NC,295,1136
"Wooster, OH",OH,296,1093
"Morristown, TN",TN,297,1026
"Kankakee, IL",IL,298,1111
"Brunswick, GA",GA,299,1347
"San Angelo, TX",TX,300,1214
"Michigan City, IN",IN,301,921
"Wenatchee, WA",WA,302,1586
"Lawrence, KS",KS,303,1311
"Decatur, IL",IL,304,955
"Missoula, MT",MT,305,1403
"Salem, OH",OH,306,855
"Lewiston, ME",ME,307,1286
"Roseburg, OR",OR,308,1097
"Sumter, SC",SC,309,848
"Meridian, MS",MS,310,893
"Bluefield, WV",WV,311,852
"Danville, VA",VA,312,907
"Lima, OH",OH,313,890
"Cookeville, TN",TN,314,1011
"California-Lexington Park, MD",MD,315,1626
"Gadsden, AL",AL,316,873
"Longview, WA",WA,317,1366
"Ithaca, NY",NY,318,1655
"Ashtabula, OH",OH,319,900
"Gettysburg, PA",PA,320,1316
"Pine Bluff, AR",AR,321,747
"Tullahoma, TN",TN,322,1162
"Richmond, KY",KY,323,1026
"Adrian, MI",MI,324,1066
"Twin Falls, ID",ID,325,1107
"Corning, NY",NY,326,1293
"Sebring, FL",FL,327,1140
"Truckee, CA",CA,328,1979
"Paducah, KY",KY,329,947
"Grand Forks, ND",ND,330,1190
"Fairbanks, AK",AK,331,1672
"Mankato, MN",MN,332,1311
"Cape Girardeau, MO",MO,333,909
"Hot Springs, AR",AR,334,1101
"Greenwood, SC",SC,335,1001
"Clarksburg, WV",WV,336,866
"Talladega, AL",AL,337,985
"Dubuque, IA",IA,338,1111
"Albertville, AL",AL,339,927
"Manhattan, KS",KS,340,1208
"Parkersburg, WV",WV,341,874
"New Philadelphia, OH",OH,342,968
"Orangeburg, SC",SC,343,949
"Cheyenne, WY",WY,344,1187
"Brainerd, MN",MN,345,1282
"Kalispell, MT",MT,346,1431
"Ames, IA",IA,347,1241
"Bozeman, MT",MT,348,1702
"Moses Lake, WA",WA,349,997
"Meadville, PA",PA,350,1039
"Hermiston-Pendleton, OR",OR,351,1314
"Zanesville, OH",OH,352,931
"Corvallis, OR",OR,353,1836
"Bloomsburg, PA",PA,354,1151
"Russellville, AR",AR,355,883
"Midland, MI",MI,356,1093
"Opelousas, LA",LA,357,1099
"Pocatello, ID",ID,358,933
"Kokomo, IN",IN,359,810
"Grants Pass, OR",OR,360,1334
"Huntsville, TX",TX,361,1278
"Plattsburgh, NY",NY,362,1484
"Grand Island, NE",NE,363,1147
"DuBois, PA",PA,364,958
"Great Falls, MT",MT,365,1209
"Olean, NY",NY,366,1187
"Auburn, NY",NY,367,1377
"Portsmouth, OH",OH,368,873
"Oak Harbor, WA",WA,369,1657
"Chillicothe, OH",OH,370,975
"Hinesville, GA",GA,371,1023
"Stillwater, OK",OK,372,1175
"Quincy, IL",IL,373,1094
"Keene, NH",NH,374,1463
"Sandusky, OH",OH,375,1109
"Searcy, AR",AR,376,901
"Columbus, IN",IN,377,1185
"Roanoke Rapids, NC",NC,378,858
"Centralia, WA",WA,379,1216
"Helena, MT",MT,380,1283
"Palatka, FL",FL,381,1058
"Mount Airy, NC",NC,382,1038
"Key West, FL",FL,383,3346
"Aberdeen, WA",WA,384,1004
"Gallup, NM",NM,385,1038
"Port Angeles, WA",WA,386,1473
"Greenfield Town, MA",MA,387,1813
"Muskogee, OK",OK,388,665
"Frankfort, KY",KY,389,1029
"Statesboro, GA",GA,390,1095
"Marion, IN",IN,391,788
"Shawnee, OK",OK,392,802
"North Wilkesboro, NC",NC,393,1092
"Richmond, IN",IN,394,810
"Greeneville, TN",TN,395,812
"Martinsville, VA",VA,396,919
"Forest City, NC",NC,397,986
"Lake City, FL",FL,398,1203
"LaGrange, GA",GA,399,917
"Marion, OH",OH,400,818
"Klamath Falls, OR",OR,401,1125
"Marshall, TX",TX,402,965
"Charleston, IL",IL,403,1155
"Clearlake, CA",CA,404,1490
"Hutchinson, KS",KS,405,786
"Faribault, MN",MN,406,1421
